PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Unnamed: 15
84,1970-01-18 01:44:43,0.6407244801521301,-0.3177566528320312,-0.5029140710830688,-0.4854226112365722,9.37817668914795,0.8122389912605286,2.8892500400543213,-3.9726834297180176,-1.4056378602981567,-1.0068609714508057,-0.357421875,-0.826171875,-0.107421875, 
85,1970-01-18 06:22:30,0.6404343247413635,-0.3183240890502929,-0.502485454082489,-0.485876977443695,9.339375495910645,0.7303985953330994,2.9180376529693604,-4.0718302726745605,-0.836062490940094,-0.8864042162895203,-0.35791015625,-0.8271484375,-0.11328125, 
86,1970-01-18 11:00:17,0.6401242017745972,-0.318893700838089,-0.5020771026611328,-0.4863342046737671,9.327956199645996,0.7383127808570862,2.9546422958374023,-4.058140277862549,-0.9953479766845704,-0.999714970588684,-0.359130859375,-0.82470703125,-0.1103515625, 
87,1970-01-18 15:38:04,0.6398224830627441,-0.3195806443691253,-0.5015574097633362,-0.4868166446685791,9.392961502075195,0.755936324596405,2.973395347595215,-5.026825428009033,-0.8134722113609314,-0.4376057982444763,-0.35791015625,-0.826171875,-0.113037109375, 
88,1970-01-18 20:15:51,0.6394749879837036,-0.3204311430454254,-0.5008854866027832,-0.4874050617218017,9.37313747406006,0.7721444368362427,2.956716299057007,-6.718583106994629,-0.6175094246864319,-0.1570698916912078,-0.359375,-0.82373046875,-0.11669921875, 
89,1970-01-19 00:53:38,0.6391229033470154,-0.321313738822937,-0.5001319050788879,-0.4880593717098236,9.35866928100586,0.7686898112297058,2.912071466445923,-7.363856792449951,-0.2361619025468826,-0.1707086414098739,-0.35888671875,-0.82470703125,-0.11376953125, 
90,1970-01-19 05:31:25,0.6387911438941956,-0.3220826983451843,-0.4994741678237915,-0.488659918308258,9.35371208190918,0.7172805070877075,2.912465810775757,-6.340040683746338,-0.326459527015686,-0.4750131964683532,-0.357666015625,-0.82373046875,-0.1142578125, 
91,1970-01-19 10:09:12,0.6384744644165039,-0.3227118551731109,-0.4989654421806335,-0.4891781508922577,9.35153579711914,0.74299556016922,2.9129796028137207,-4.8949713706970215,-0.6409834027290344,-0.8702939748764038,-0.359375,-0.826171875,-0.11865234375, 
92,1970-01-19 14:46:59,0.6381421089172363,-0.3232673108577728,-0.4985982775688171,-0.4896196126937866,9.357467651367188,0.7521207332611084,2.9442715644836426,-3.8733320236206055,-1.238489270210266,-1.1534423828125,-0.35888671875,-0.827880859375,-0.12353515625, 
93,1970-01-19 19:24:46,0.637783944606781,-0.3238086998462677,-0.4982906877994537,-0.4900414049625397,9.38508415222168,0.7160630822181702,2.931830883026123,-3.590336799621582,-1.5840173959732056,-1.3317066431045532,-0.358642578125,-0.827880859375,-0.126708984375, 
94,1970-01-20 00:02:33,0.6374534368515015,-0.3242223560810089,-0.498053640127182,-0.4904389977455139,9.359750747680664,0.740094006061554,2.8607447147369385,-2.631871223449707,-1.4208003282546997,-1.7220057249069214,-0.35888671875,-0.827880859375,-0.12353515625, 
95,1970-01-20 04:40:20,0.6371102929115295,-0.3245449960231781,-0.4979856312274933,-0.4907401204109192,9.305502891540527,0.7520250678062439,2.8339221477508545,-1.3817155361175537,-2.114814758300781,-2.0368497371673584,-0.362060546875,-0.826171875,-0.12109375, 
96,1970-01-20 09:18:07,0.6367278695106506,-0.3248957991600036,-0.4979731142520904,-0.4910170137882232,9.3330717086792,0.7333515882492065,2.862357378005981,-1.3372901678085327,-2.642052412033081,-2.0949010848999023,-0.357666015625,-0.829345703125,-0.126220703125, 
97,1970-01-20 13:55:54,0.63636714220047,-0.3252066969871521,-0.4979540705680847,-0.491298109292984,9.377789497375488,0.7854889035224915,2.898162603378296,-1.13078773021698,-2.393762826919556,-2.15575647354126,-0.354248046875,-0.830078125,-0.121826171875, 
98,1970-01-20 18:33:41,0.6360266208648682,-0.3255305290222168,-0.4979143738746643,-0.4915648996829986,9.384851455688477,0.7658409476280212,2.8859217166900635,-1.1678622961044312,-2.31026554107666,-1.9365636110305784,-0.358642578125,-0.82373046875,-0.123291015625, 
99,1970-01-20 23:11:28,0.6357205510139465,-0.3258140087127685,-0.4978666305541992,-0.4918209612369537,9.35234260559082,0.8041079640388489,2.878478765487671,-0.9066126346588136,-2.0448155403137207,-1.8945969343185425,-0.354736328125,-0.827392578125,-0.12646484375, 
100,1970-01-21 03:49:15,0.6354365348815918,-0.3260467946529388,-0.4978978037834167,-0.4920022189617157,9.356792449951172,0.752540647983551,2.815876007080078,-0.1065872460603714,-2.3102269172668457,-1.840669631958008,-0.356201171875,-0.832763671875,-0.122802734375, 
101,1970-01-21 08:27:02,0.6351972222328186,-0.326188176870346,-0.4980304837226867,-0.4920832514762878,9.38116455078125,0.7523919939994812,2.85426664352417,1.063868284225464,-2.517561912536621,-1.7964106798171997,-0.357177734375,-0.82666015625,-0.130615234375, 
